id;title;year;genre;duration;country;director
tt0787524;The Man Who Knew Infinity;2015;Biography, Drama;108;UK, USA;Matt Brown
tt0790627;Brief Interviews with Hideous Men;2009;Comedy, Drama;80;USA;John Krasinski
tt0790628;The Incredible Burt Wonderstone;2013;Comedy;100;USA;Don Scardino
tt0790636;Dallas Buyers Club;2013;Biography, Drama;117;USA;Jean-Marc VallÃ©e
tt0790653;Elliot Loves;2012;Comedy, Romance;92;USA;Terracino
tt0790663;The First Grader;2010;Biography, Drama, Romance;103;UK, USA, Kenya;Justin Chadwick
tt0790712;The Messenger;2009;Drama, Romance, War;113;USA;Oren Moverman
tt0790724;Jack Reacher;2012;Action, Crime, Thriller;130;USA;Christopher McQuarrie
tt0790736;R.I.P.D.;2013;Action, Adventure, Comedy;96;USA;Robert Schwentke
tt0790770;Miles Ahead;2015;Biography, Drama, Music;100;USA;Don Cheadle
tt0790788;The Yellow Wallpaper;2012;Thriller;115;USA;Logan Thomas
tt0791321;Live Evil;2009;Horror;97;USA;Jay Woelfel
tt0795351;Case 39;2009;Horror, Mystery, Thriller;109;USA, Canada;Christian Alvart
tt0795438;Not Easily Broken;2009;Drama, Romance;99;USA;Bill Duke
tt0795461;Scary Movie 5;2013;Comedy;86;USA;Malcolm D. Lee, David Zucker
tt0796366;Star Trek;2009;Action, Adventure, Sci-Fi;127;USA, Germany;J.J. Abrams
tt0798817;13;2010;Crime, Drama, Thriller;91;USA;GÃ©la Babluani
tt0800320;Clash of the Titans;2010;Action, Adventure, Fantasy;106;USA, UK, Australia;Louis Leterrier
tt0800369;Thor;2011;Action, Adventure, Fantasy;115;USA;Kenneth Branagh
tt0803061;Red Dog;2011;Biography, Comedy, Drama;92;Australia, USA;Kriv Stenders
tt0803096;Warcraft;2016;Action, Adventure, Fantasy;123;China, Canada, Japan, USA;Duncan Jones
tt0803100;Vorstadtkrokodile;2009;Adventure, Family;98;Germany;Christian Ditter
tt0804463;Devil's Knot;2013;Biography, Crime, Drama;114;USA;Atom Egoyan
tt0804497;It's Kind of a Funny Story;2010;Comedy, Drama, Romance;101;USA;Anna Boden, Ryan Fleck
tt0804509;La mula;2013;Comedy, Drama;100;Spain, UK;Michael Radford, Sebastien Grousset
tt0804539;Surviving Evil;2009;Action, Horror, Thriller;90;UK, South Africa;Terence Daw
tt0806027;Blood: The Last Vampire;2009;Action, Horror, Thriller;91;Hong Kong, France, China;Chris Nahon
tt0806029;L'affaire Farewell;2009;Drama, Romance, Thriller;113;France;Christian Carion
tt0806203;Carriers;2009;Drama, Horror, Sci-Fi;84;USA;David Pastor, Ã€lex Pastor
tt0807028;The Pool Boys;2009;Comedy;107;USA;J.B. Rogers
tt0808151;Angels & Demons;2009;Mystery, Thriller;138;USA, Italy;Ron Howard
tt0808232;A Dog Year;2009;Comedy, Drama;80;USA;George LaVoo
