movie_id;males_votes;females_votes;votes_10;votes_9;votes_8;votes_7;votes_6;votes_5;votes_4;votes_3;votes_2;votes_1
tt7207478;57;66;27;4;3;17;15;22;15;23;9;27
tt7208564;2309;384;216;90;230;478;766;721;405;235;127;190
tt7208648;189;6;42;7;17;24;46;51;34;20;17;42
tt7209350;192;211;108;11;14;22;31;28;22;28;39;181
tt7209510;1015;325;306;677;1151;1297;1237;240;19;16;20;73
tt7210252;122;42;15;8;47;70;46;16;10;1;2;5
tt7210426;371;107;51;85;146;164;108;49;20;4;7;9
tt7212726;7425;919;6103;550;955;1418;1252;834;485;385;520;3356
tt7213362;17;1;322;52;70;69;59;62;23;22;20;31
tt7213936;1840;759;398;510;1101;910;304;124;43;28;26;74
tt7214028;26;50;37;7;9;7;14;23;26;16;6;13
tt7214470;527;109;51;16;34;64;120;136;164;104;68;139
tt7215548;160;37;34;30;59;62;23;18;11;5;2;5
tt7216256;287;87;108;41;98;92;70;36;17;10;5;49
tt7216918;147;33;11;11;20;40;55;53;23;16;14;9
tt7217028;353;78;10;19;25;102;163;129;57;29;15;19
tt7217128;126;20;13;3;15;38;48;37;23;10;4;8
tt7217826;103;33;17;4;10;7;24;30;33;13;17;43
tt7217962;101;16;6;3;12;34;43;32;9;6;0;3
tt7218334;142;11;18;20;35;42;35;21;4;9;4;12
tt7218518;9977;1332;5096;3393;4231;2523;855;340;137;96;84;512
tt7218564;65;31;18;7;8;17;18;18;14;7;5;14
tt7218732;1990;345;434;81;143;373;538;536;316;252;182;378
tt7219324;753;161;56;64;206;374;273;113;65;14;16;16
tt7220640;123;41;25;19;39;58;42;16;5;5;3;5
tt7220696;328;52;29;42;106;135;96;44;15;8;4;14
tt7220754;3418;567;611;527;1174;1407;781;294;117;65;39;52
tt7221072;145;38;35;5;5;9;19;19;36;25;25;52
tt7221634;779;36;187;158;299;308;135;42;15;6;6;18
tt7221896;24803;1769;3989;56;55;82;69;136;64;152;222;32443
tt7221950;79;1;7;3;2;13;20;21;14;12;9;12
tt7222296;53;21;8;3;4;22;35;17;7;6;2;5
tt7222304;224;156;25;3;173;108;41;6;5;6;6;35
tt7222552;237;24;15;7;46;105;96;35;11;9;6;20
tt7222598;114;9;133;23;22;15;8;12;4;2;2;19
tt7222976;285;13;137;113;131;52;18;11;4;2;2;9
tt7223050;347;26;26;9;33;69;110;114;51;16;19;22
tt7224496;232;44;29;28;60;93;58;34;21;12;8;6
tt7224520;163;33;16;5;14;36;54;45;39;19;12;17
tt7225386;1263;150;109;218;628;697;264;65;29;14;4;16
tt7227100;44;46;70;9;6;16;10;6;3;2;4;21
tt7227742;119;85;95;29;39;62;29;15;7;4;5;31
tt7228134;232;54;30;21;42;57;111;66;40;27;18;35
tt7229666;153;15;131;23;16;16;20;18;7;9;9;49
tt7229730;29;32;16;8;15;14;16;8;8;4;2;13
tt7230148;195;31;19;7;36;56;62;42;15;11;7;19
tt7230476;88;18;12;7;22;36;30;9;7;3;0;2
tt7231194;937;36;479;386;330;127;58;17;7;9;2;39
tt7231342;989;133;98;134;399;427;226;89;37;17;10;43
tt7231546;961;39;608;193;255;250;162;92;44;27;14;107
tt7231560;88;11;16;4;18;32;37;17;4;5;1;6
